match,group,is_participating,start,end,content
15,6,yes,1082,1085,111
15,7,yes,1085,1090,.jpg
16,0,yes,1092,1163,/ipfs/QmTwU8jo7CafgcGb1jidayGULWTWzrptghVYQJtFuuzZaW?filename=112.jpg
16,1,yes,1092,1093,
16,2,yes,1093,1099,/ipfs/
16,3,yes,1099,1145,QmTwU8jo7CafgcGb1jidayGULWTWzrptghVYQJtFuuzZaW
16,4,yes,1145,1146,?
16,5,yes,1146,1155,filename=
16,6,yes,1155,1158,112
16,7,yes,1158,1163,.jpg
17,0,yes,1165,1236,/ipfs/QmQXfJ597o7ejNEcTAuZ1iKPHD5N3XRqekQDEjxh3HEz36?filename=113.jpg
17,1,yes,1165,1166,
17,2,yes,1166,1172,/ipfs/
17,3,yes,1172,1218,QmQXfJ597o7ejNEcTAuZ1iKPHD5N3XRqekQDEjxh3HEz36
17,4,yes,1218,1219,?
17,5,yes,1219,1228,filename=
17,6,yes,1228,1231,113
17,7,yes,1231,1236,.jpg
18,0,yes,1238,1309,/ipfs/QmNzL5MrUyAomB8g77B8xfTgHtT8fAS3f1d5PFKCPb3wd4?filename=114.jpg
18,1,yes,1238,1239,
18,2,yes,1239,1245,/ipfs/
18,3,yes,1245,1291,QmNzL5MrUyAomB8g77B8xfTgHtT8fAS3f1d5PFKCPb3wd4
18,4,yes,1291,1292,?
18,5,yes,1292,1301,filename=
18,6,yes,1301,1304,114
18,7,yes,1304,1309,.jpg
19,0,yes,1311,1382,/ipfs/QmR3n58z3BdBYXZKPv9geHcmeeX9yFchReHUES2YR33TU8?filename=115.jpg
19,1,yes,1311,1312,
19,2,yes,1312,1318,/ipfs/
19,3,yes,1318,1364,QmR3n58z3BdBYXZKPv9geHcmeeX9yFchReHUES2YR33TU8
19,4,yes,1364,1365,?
19,5,yes,1365,1374,filename=
19,6,yes,1374,1377,115
19,7,yes,1377,1382,.jpg
20,0,yes,1384,1455,/ipfs/QmRQrzSZFyNRG69FcCUibdGFteweofKaU6SfRcKYYGMKwk?filename=116.jpg
20,1,yes,1384,1385,
20,2,yes,1385,1391,/ipfs/
20,3,yes,1391,1437,QmRQrzSZFyNRG69FcCUibdGFteweofKaU6SfRcKYYGMKwk
20,4,yes,1437,1438,?
20,5,yes,1438,1447,filename=
20,6,yes,1447,1450,116
20,7,yes,1450,1455,.jpg
21,0,yes,1457,1528,/ipfs/QmV6KTZLMdD2JbQZ9X2Qt6X4bwUys6M65MNisH3JDJsyE9?filename=117.jpg
21,1,yes,1457,1458,
21,2,yes,1458,1464,/ipfs/
21,3,yes,1464,1510,QmV6KTZLMdD2JbQZ9X2Qt6X4bwUys6M65MNisH3JDJsyE9
